COUNTRY,ECON_CODE,ISO_A3,NE_ADM0_A3,REGION,INCOME_GRP,REPORT_YEAR,PAT_DAYS,PAT_WEEKS,PAT_MONTHS,PAT_CLASS_ID,PAT_CLASS_DAYS,PAT_CLASS_WEEKS,PAT_CLASS_DESC,PAT_PAID_STATUS,FATHER_INCENTIVES_STATUS,FATHER_INCENTIVES_SOURCE,PARENTHOOD_LF,PARENTHOOD_SF,PARENTHOOD_EP,SOURCE_NOTE
Bahrain,BHR,BHR,BHR,Middle East & North Africa,High income,2026,1,0.1,0.0,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,42.0,0.0,35.31,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bangladesh,BGD,BGD,BGD,South Asia,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,25.0,0.0,18.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Barbados,BRB,BRB,BRB,Latin America & Caribbean,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,71.5,25.0,71.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Belarus,BLR,BLR,BLR,Europe & Central Asia,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,75.0,50.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Belgium,BEL,BEL,BEL,High income: OECD,High income,2026,148,21.1,4.9,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Loi sur le Travail, Art. 30(4)",100.0,75.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Belize,BLZ,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,62.5,25.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Benin,BEN,BEN,BEN,Sub-Saharan Africa,Lower middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,67.75,25.0,33.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bhutan,BTN,BTN,BTN,South Asia,Lower middle income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,65.25,0.0,59.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bolivia,BOL,BOL,BOL,Latin America & Caribbean,Lower middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,78.25,25.0,57.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bosnia and Herzegovina,BIH,BIH,BIH,Europe & Central Asia,Upper middle income,2026,9,1.3,0.3,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,91.0,50.0,76.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Botswana,BWA,BWA,BWA,Sub-Saharan Africa,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,21.5,0.0,21.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Brazil,BRA,BRA,BRA,Latin America & Caribbean,Upper middle income,2026,5,0.7,0.2,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,84.0,75.0,70.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Brunei Darussalam,BRN,BRN,BRN,East Asia & Pacific,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,35.75,25.0,20.81,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bulgaria,BGR,BGR,BGR,Europe & Central Asia,High income,2026,15,2.1,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,50.0,75.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Burkina Faso,BFA,BFA,BFA,Sub-Saharan Africa,Low income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,80.25,50.0,60.19,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Burundi,BDI,BDI,BDI,Sub-Saharan Africa,Low income,2026,4,0.6,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,66.25,0.0,46.56,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Cabo Verde,CPV,CPV,CPV,Sub-Saharan Africa,Upper middle income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,85.5,75.0,79.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Cambodia,KHM,KHM,KHM,East Asia & Pacific,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,60.5,75.0,30.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Cameroon,CMR,CMR,CMR,Sub-Saharan Africa,Lower middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,80.25,25.0,55.06,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Canada,CAN,CAN,CAN,High income: OECD,High income,2026,35,5.0,1.1,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Employment Standards Act 2000, Sec. 74",100.0,100.0,75.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
